"length_bucket","member_casual","cnt","pct"
"0–5 min","casual","321106","15.69"
"10–15 min","casual","372291","18.19"
"15–20 min","casual","229663","11.22"
"20–30 min","casual","249764","12.20"
"30–45 min","casual","153337","7.49"
"45–60 min","casual","69049","3.37"
"5–10 min","casual","541953","26.48"
"60+ min","casual","109649","5.36"
"0–5 min","member","913649","25.08"
"10–15 min","member","663823","18.22"
"15–20 min","member","355083","9.75"
"20–30 min","member","317274","8.71"
"30–45 min","member","148592","4.08"
"45–60 min","member","30345","0.83"
"5–10 min","member","1189318","32.65"
"60+ min","member","24958","0.69"
